Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u1	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u2	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	ConcepciónGamarraRuizClavijo	Gamarra Ruiz-Clavijo, Concepción	F	1974	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u3	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u4	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u5	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	ConcepciónGamarraRuizClavijo	Gamarra Ruiz-Clavijo, Concepción	F	1974	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u6	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u7	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u8	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u9	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u10	Sesión plenaria núm. 235 (2023-02-15)	2023-02-15	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
